station_id,station_name,time,date,year,month,day,hour,parameter,value,gross_range_test_qc,spike_test_qc,rate_of_change_test_qc,flat_line_test_qc,aggregate_qc,source_hydrovu_id,source_hydrovu_name,source_hydrovu_description
CCBay,4648354079375360,2026-01-01 00:00:00,2026-01-01,2026,1,1,0,Actual Conductivity (µS/cm),44295.81640625,1,2,1,1,2,,,
CCBay,4648354079375360,2026-01-01 00:15:00,2026-01-01,2026,1,1,0,Actual Conductivity (µS/cm),44320.36328125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 00:30:00,2026-01-01,2026,1,1,0,Actual Conductivity (µS/cm),44283.90625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 00:45:00,2026-01-01,2026,1,1,0,Actual Conductivity (µS/cm),44341.97265625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 01:00:00,2026-01-01,2026,1,1,1,Actual Conductivity (µS/cm),44326.1015625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 01:15:00,2026-01-01,2026,1,1,1,Actual Conductivity (µS/cm),44308.4921875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 01:30:00,2026-01-01,2026,1,1,1,Actual Conductivity (µS/cm),44326.22265625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 01:45:00,2026-01-01,2026,1,1,1,Actual Conductivity (µS/cm),44364.890625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 02:00:00,2026-01-01,2026,1,1,2,Actual Conductivity (µS/cm),44337.41796875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 02:15:00,2026-01-01,2026,1,1,2,Actual Conductivity (µS/cm),44347.453125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 02:30:00,2026-01-01,2026,1,1,2,Actual Conductivity (µS/cm),44325.83203125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 02:45:00,2026-01-01,2026,1,1,2,Actual Conductivity (µS/cm),44372.48828125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 03:00:00,2026-01-01,2026,1,1,3,Actual Conductivity (µS/cm),44292.02734375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 03:15:00,2026-01-01,2026,1,1,3,Actual Conductivity (µS/cm),44208.3828125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 03:30:00,2026-01-01,2026,1,1,3,Actual Conductivity (µS/cm),44213.6796875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 03:45:00,2026-01-01,2026,1,1,3,Actual Conductivity (µS/cm),44228.328125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 04:00:00,2026-01-01,2026,1,1,4,Actual Conductivity (µS/cm),44193.828125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 04:15:00,2026-01-01,2026,1,1,4,Actual Conductivity (µS/cm),44170.1328125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 04:30:00,2026-01-01,2026,1,1,4,Actual Conductivity (µS/cm),44164.5703125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 04:45:00,2026-01-01,2026,1,1,4,Actual Conductivity (µS/cm),44187.19921875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 05:00:00,2026-01-01,2026,1,1,5,Actual Conductivity (µS/cm),44171.6640625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 05:15:00,2026-01-01,2026,1,1,5,Actual Conductivity (µS/cm),44163.16796875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 05:30:00,2026-01-01,2026,1,1,5,Actual Conductivity (µS/cm),44197.83203125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 05:45:00,2026-01-01,2026,1,1,5,Actual Conductivity (µS/cm),44201.68359375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 06:00:00,2026-01-01,2026,1,1,6,Actual Conductivity (µS/cm),44173.89453125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 06:15:00,2026-01-01,2026,1,1,6,Actual Conductivity (µS/cm),44185.0234375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 06:30:00,2026-01-01,2026,1,1,6,Actual Conductivity (µS/cm),44190.4453125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 06:45:00,2026-01-01,2026,1,1,6,Actual Conductivity (µS/cm),44238.6015625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 07:00:00,2026-01-01,2026,1,1,7,Actual Conductivity (µS/cm),44187.87890625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 07:15:00,2026-01-01,2026,1,1,7,Actual Conductivity (µS/cm),44200.83203125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 07:30:00,2026-01-01,2026,1,1,7,Actual Conductivity (µS/cm),44186.88671875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 07:45:00,2026-01-01,2026,1,1,7,Actual Conductivity (µS/cm),44226.12890625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 08:00:00,2026-01-01,2026,1,1,8,Actual Conductivity (µS/cm),44172.1328125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 08:15:00,2026-01-01,2026,1,1,8,Actual Conductivity (µS/cm),44069.84375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 08:30:00,2026-01-01,2026,1,1,8,Actual Conductivity (µS/cm),44074.48828125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 08:45:00,2026-01-01,2026,1,1,8,Actual Conductivity (µS/cm),44178.3984375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 09:00:00,2026-01-01,2026,1,1,9,Actual Conductivity (µS/cm),44189.890625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 09:15:00,2026-01-01,2026,1,1,9,Actual Conductivity (µS/cm),44173.296875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 09:30:00,2026-01-01,2026,1,1,9,Actual Conductivity (µS/cm),44151.234375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 09:45:00,2026-01-01,2026,1,1,9,Actual Conductivity (µS/cm),44260.80859375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 10:00:00,2026-01-01,2026,1,1,10,Actual Conductivity (µS/cm),44212.828125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 10:15:00,2026-01-01,2026,1,1,10,Actual Conductivity (µS/cm),44198.234375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 10:30:00,2026-01-01,2026,1,1,10,Actual Conductivity (µS/cm),44232.1015625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 10:45:00,2026-01-01,2026,1,1,10,Actual Conductivity (µS/cm),44284.2890625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 11:00:00,2026-01-01,2026,1,1,11,Actual Conductivity (µS/cm),44218.90234375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 11:15:00,2026-01-01,2026,1,1,11,Actual Conductivity (µS/cm),44215.1484375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 11:30:00,2026-01-01,2026,1,1,11,Actual Conductivity (µS/cm),44188.0,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 11:45:00,2026-01-01,2026,1,1,11,Actual Conductivity (µS/cm),44212.87890625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 12:00:00,2026-01-01,2026,1,1,12,Actual Conductivity (µS/cm),44204.30078125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 12:15:00,2026-01-01,2026,1,1,12,Actual Conductivity (µS/cm),44210.484375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 12:30:00,2026-01-01,2026,1,1,12,Actual Conductivity (µS/cm),44178.2265625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 12:45:00,2026-01-01,2026,1,1,12,Actual Conductivity (µS/cm),44174.5234375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 13:00:00,2026-01-01,2026,1,1,13,Actual Conductivity (µS/cm),44128.8203125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 13:15:00,2026-01-01,2026,1,1,13,Actual Conductivity (µS/cm),44113.5859375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 13:30:00,2026-01-01,2026,1,1,13,Actual Conductivity (µS/cm),44099.453125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 13:45:00,2026-01-01,2026,1,1,13,Actual Conductivity (µS/cm),44113.13671875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 14:00:00,2026-01-01,2026,1,1,14,Actual Conductivity (µS/cm),44068.44140625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 14:15:00,2026-01-01,2026,1,1,14,Actual Conductivity (µS/cm),44078.0703125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 14:30:00,2026-01-01,2026,1,1,14,Actual Conductivity (µS/cm),44095.8359375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 14:45:00,2026-01-01,2026,1,1,14,Actual Conductivity (µS/cm),44118.9296875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 15:00:00,2026-01-01,2026,1,1,15,Actual Conductivity (µS/cm),44096.63671875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 15:15:00,2026-01-01,2026,1,1,15,Actual Conductivity (µS/cm),44130.18359375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 15:30:00,2026-01-01,2026,1,1,15,Actual Conductivity (µS/cm),44165.41796875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 15:45:00,2026-01-01,2026,1,1,15,Actual Conductivity (µS/cm),44258.8125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 16:00:00,2026-01-01,2026,1,1,16,Actual Conductivity (µS/cm),44276.75390625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 16:15:00,2026-01-01,2026,1,1,16,Actual Conductivity (µS/cm),44302.54296875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 16:30:00,2026-01-01,2026,1,1,16,Actual Conductivity (µS/cm),44341.11328125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 16:45:00,2026-01-01,2026,1,1,16,Actual Conductivity (µS/cm),44474.74609375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 17:00:00,2026-01-01,2026,1,1,17,Actual Conductivity (µS/cm),44530.73046875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 17:15:00,2026-01-01,2026,1,1,17,Actual Conductivity (µS/cm),44618.35546875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 17:30:00,2026-01-01,2026,1,1,17,Actual Conductivity (µS/cm),44675.7578125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 17:45:00,2026-01-01,2026,1,1,17,Actual Conductivity (µS/cm),44775.96484375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 18:00:00,2026-01-01,2026,1,1,18,Actual Conductivity (µS/cm),44782.125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 18:15:00,2026-01-01,2026,1,1,18,Actual Conductivity (µS/cm),44850.59375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 18:30:00,2026-01-01,2026,1,1,18,Actual Conductivity (µS/cm),44948.30859375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 18:45:00,2026-01-01,2026,1,1,18,Actual Conductivity (µS/cm),45062.98828125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 19:00:00,2026-01-01,2026,1,1,19,Actual Conductivity (µS/cm),45157.31640625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 19:15:00,2026-01-01,2026,1,1,19,Actual Conductivity (µS/cm),45273.3046875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 19:30:00,2026-01-01,2026,1,1,19,Actual Conductivity (µS/cm),45075.03515625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 19:45:00,2026-01-01,2026,1,1,19,Actual Conductivity (µS/cm),44765.21875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 20:00:00,2026-01-01,2026,1,1,20,Actual Conductivity (µS/cm),44800.8984375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 20:15:00,2026-01-01,2026,1,1,20,Actual Conductivity (µS/cm),44891.7109375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 20:30:00,2026-01-01,2026,1,1,20,Actual Conductivity (µS/cm),44979.515625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 20:45:00,2026-01-01,2026,1,1,20,Actual Conductivity (µS/cm),44811.3984375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 21:00:00,2026-01-01,2026,1,1,21,Actual Conductivity (µS/cm),44699.26953125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 21:15:00,2026-01-01,2026,1,1,21,Actual Conductivity (µS/cm),44660.88671875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 21:30:00,2026-01-01,2026,1,1,21,Actual Conductivity (µS/cm),44598.7265625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 21:45:00,2026-01-01,2026,1,1,21,Actual Conductivity (µS/cm),44567.51171875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 22:00:00,2026-01-01,2026,1,1,22,Actual Conductivity (µS/cm),44579.0390625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 22:15:00,2026-01-01,2026,1,1,22,Actual Conductivity (µS/cm),44491.609375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 22:30:00,2026-01-01,2026,1,1,22,Actual Conductivity (µS/cm),44496.58203125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 22:45:00,2026-01-01,2026,1,1,22,Actual Conductivity (µS/cm),44442.8046875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 23:00:00,2026-01-01,2026,1,1,23,Actual Conductivity (µS/cm),44405.3125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 23:15:00,2026-01-01,2026,1,1,23,Actual Conductivity (µS/cm),44406.6484375,1,1,1,1,1,,,
